,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
30188,Laos,LAO,2018,20.558106,15.417187,3.30918,0.0,1.831739,0.0,,2.893468
30189,Laos,LAO,2019,19.596154,14.205328,3.341568,0.0,2.049258,0.0,,2.71714
30190,Laos,LAO,2020,20.487801,14.911796,3.526746,0.0,2.049258,0.0,,2.79911
30191,Laos,LAO,2021,20.7775,15.103899,3.624343,0.0,2.049258,0.0,,2.798295
30458,Latvia,LVA,2016,7.210325,0.165653,4.058759,2.607191,0.34634,1.2e-05,0.03237,3.653617
30459,Latvia,LVA,2017,7.214946,0.167253,4.27663,2.299365,0.437076,1.6e-05,0.034606,3.69077
30460,Latvia,LVA,2018,7.859363,0.197038,4.362586,2.703732,0.550932,9e-06,0.045065,4.060364
30461,Latvia,LVA,2019,7.648673,0.166208,4.318617,2.548376,0.561458,1e-05,0.054004,3.990844
30462,Latvia,LVA,2020,6.994113,0.098523,4.170118,2.103025,0.550832,1.1e-05,0.071604,3.686832
30463,Latvia,LVA,2021,7.266214,0.137075,4.235802,2.27089,0.550832,1.1e-05,0.071604,3.87755
30730,Lebanon,LBN,2016,26.45721,0.626544,23.52288,0.0,2.307786,0.0,,4.227324
30731,Lebanon,LBN,2017,27.846291,0.626544,24.955504,0.0,2.264243,0.0,,4.558052
30732,Lebanon,LBN,2018,26.202854,0.626544,23.48624,0.0,2.09007,0.0,,4.40322
30733,Lebanon,LBN,2019,26.400285,0.626544,23.640128,0.0,2.133613,0.0,,4.566017
30734,Lebanon,LBN,2020,24.475147,0.493054,21.84848,0.0,2.133613,0.0,,4.321999
30735,Lebanon,LBN,2021,24.958901,0.43351,22.391777,0.0,2.133613,0.0,,4.462819
31002,Leeward Islands,,2016,0.0,,,,,,,0.0
31003,Leeward Islands,,2017,0.0,,,,,,,0.0
31004,Leeward Islands,,2018,0.0,,,,,,,0.0
31005,Leeward Islands,,2019,0.0,,,,,,,0.0
31006,Leeward Islands,,2020,0.0,,,,,,,0.0
