location_key,date,new_deceased,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,new_confirmed,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9
BW,2020-08-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW,2020-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW,2020-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,2020-11-01,4,0,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0
BZ,2020-08-29,1,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0
CA,2020-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,2020-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC,2020-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD,2020-09-06,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
CD,2020-07-30,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
CD,2020-07-24,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
CD,2020-10-27,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
CD,2020-08-08,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
CF,2020-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,2020-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,2020-10-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,2020-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,2020-11-04,83,0,0,0,0,0,0,0,0,0,0,8712,0,0,0,0,0,0,0,0,0,0
CH,2020-12-02,93,0,0,0,0,0,0,0,0,0,0,4423,0,0,0,0,0,0,0,0,0,0
CH,2020-11-22,82,0,0,0,0,0,0,0,0,0,0,1872,0,0,0,0,0,0,0,0,0,0
CI,2020-09-11,1,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
CI,2020-11-20,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
CK,2020-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,2020-10-19,41,0,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0
CL,2020-08-19,32,0,0,0,0,0,0,0,0,0,0,1233,0,0,0,0,0,0,0,0,0,0
CL,2020-10-29,86,0,0,0,0,0,0,0,0,0,0,1519,0,0,0,0,0,0,0,0,0,0
CM,2020-08-16,3,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
CN,2020-10-04,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
CN,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
CN,2020-07-14,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
CN,2020-11-15,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
CR,2020-08-24,7,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,0,0
CU,2020-09-19,2,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
CV,2020-10-22,3,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0
CW,2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,2020-10-27,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
CW,2020-11-24,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
CW,2020-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CW,2020-10-22,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
CX,2020-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX,2020-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX,2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX,2020-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CX,2020-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,2020-12-23,3,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0
CY,2020-12-29,2,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0
CY,2020-08-24,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
CY,2020-09-23,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
DJ,2020-11-11,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
DJ,2020-11-21,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
DM,2020-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,2020-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,2020-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DO,2020-07-09,22,0,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0
DO,2020-11-24,2,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0
DZ,2020-08-14,9,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0
EC,2020-10-25,20,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0
EG,2020-09-22,16,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
EG,2020-08-11,26,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0
EG,2020-12-29,56,0,0,0,0,0,0,0,0,0,0,1411,0,0,0,0,0,0,0,0,0,0
EG,2020-09-27,18,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0
EG,2020-09-28,13,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0
EH,2020-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EH,2020-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EH,2020-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER,2020-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER,2020-09-02,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
ER,2020-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER,2020-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET,2020-11-02,5,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0
ET,2020-11-21,11,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0
FJ,2020-07-05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FJ,2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK,2020-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FK,2020-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM,2020-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FO,2020-07-29,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
GA,2020-07-21,1,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0
GA,2020-09-22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
GA,2020-11-26,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
GA,2020-08-11,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
GB,2020-09-13,17,0,0,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0
GD,2020-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,2020-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,2020-08-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD,2020-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE,2020-12-27,25,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0
GE,2020-08-24,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
GF,2020-09-18,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
GF,2020-11-16,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
GF,2020-10-06,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
GF,2020-09-29,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
GF,2020-07-12,3,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0
GH,2020-11-22,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
GH,2020-08-02,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0
GI,2020-11-08,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
GI,2020-11-04,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
GL,2020-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GL,2020-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM,2020-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM,2020-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,2020-07-29,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
GR,2020-09-28,5,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0
GR,2020-09-25,7,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0
GS,2020-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS,2020-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS,2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,2020-12-23,10,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0
GT,2020-10-19,5,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0
GT,2020-10-25,7,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0
GT,2020-09-01,12,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0
GW,2020-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GW,2020-10-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,2020-12-19,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
GY,2020-09-28,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
GY,2020-11-06,3,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
HM,2020-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,2020-08-06,23,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0
HN,2020-12-16,12,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0
HU,2020-09-28,8,0,0,0,0,0,0,0,0,0,0,894,0,0,0,0,0,0,0,0,0,0
HU,2020-07-17,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
ID,2020-12-24,181,0,0,0,0,0,0,0,0,0,0,7199,0,0,0,0,0,0,0,0,0,0
ID,2020-08-29,92,0,0,0,0,0,0,0,0,0,0,3308,0,0,0,0,0,0,0,0,0,0
ID,2020-08-25,99,0,0,0,0,0,0,0,0,0,0,2447,0,0,0,0,0,0,0,0,0,0
ID,2020-11-21,96,0,0,0,0,0,0,0,0,0,0,4998,0,0,0,0,0,0,0,0,0,0
ID,2020-12-29,251,0,0,0,0,0,0,0,0,0,0,7903,0,0,0,0,0,0,0,0,0,0
IE,2020-07-09,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
IL,2020-08-29,14,0,0,0,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,0
IL,2020-07-06,5,0,0,0,0,0,0,0,0,0,0,1383,0,0,0,0,0,0,0,0,0,0
IL,2020-08-11,16,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,0,0,0,0,0,0
IL,2020-08-03,11,0,0,0,0,0,0,0,0,0,0,1724,0,0,0,0,0,0,0,0,0,0
IM,2020-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IO,2020-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IO,2020-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IO,2020-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IO,2020-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IO,2020-10-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IO,2020-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ,2020-09-30,50,0,0,0,0,0,0,0,0,0,0,4493,0,0,0,0,0,0,0,0,0,0
IQ,2020-08-14,76,0,0,0,0,0,0,0,0,0,0,4293,0,0,0,0,0,0,0,0,0,0
