date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2021-10-05,ML,43,86,114,62,3,-11
2021-08-02,ML,40,36,85,45,-1,-13
2022-08-08,MM,-15,8,31,-13,9,24
2021-07-28,MM,-69,-46,-48,-64,-70,31
2022-06-09,MM,-16,6,35,-12,2,22
2020-12-25,MM,-41,-13,-19,-31,-49,27
2020-12-13,MM,-47,-21,-17,-32,-21,22
2020-09-18,MM,-49,-34,-25,-50,-32,27
2021-03-26,MM,-73,-62,-75,-80,-76,27
2021-03-23,MU,-70,-48,-65,-80,-75,22
2021-03-19,NA,-6,16,-23,-14,-10,-11
2021-07-08,NE,73,67,39,57,-5,-10
2021-03-07,NE,22,-39,-3,14,-28,-8
2022-09-10,NG,62,77,84,67,71,23
2021-05-26,NP,-61,-25,-37,-52,-65,22
2021-01-24,PA,-89,-88,-83,-83,-59,30
2021-01-12,PA,-57,-27,-63,-58,-49,24
2022-06-03,RW,87,41,239,36,36,22
2022-07-22,RW,94,39,246,37,32,26
2021-07-05,SG,-18,10,-12,-31,-29,20
2020-08-13,SG,-27,-9,-27,-32,-31,20
2020-08-05,SG,-25,-7,-23,-34,-31,21
2022-06-25,TG,54,84,221,37,59,25
2022-03-24,TG,55,64,210,22,54,24
2022-06-23,TG,50,86,218,30,48,27
2022-04-15,TG,54,73,197,26,46,26
2022-07-17,TG,60,69,204,35,55,26
2022-04-16,TZ,48,76,107,54,25,20
2022-03-08,UG,25,30,98,12,-4,28
2021-04-05,VN,-9,13,-16,-6,8,-12
2021-03-17,VN,-12,6,-24,-13,9,-12
2022-06-30,ZM,109,114,245,57,60,22
2022-07-19,ZM,88,89,249,40,67,33
2022-08-22,ZM,105,103,272,47,68,30
2022-05-02,ZM,88,84,237,36,-17,34
2022-05-28,ZM,104,106,245,51,76,20
2022-05-16,ZM,85,85,237,41,65,23
2020-08-14,CO,-48,-21,-40,-52,-34,20
2020-07-27,CO,-47,-25,-41,-55,-38,20
2021-04-23,IN,-46,2,-35,-32,-37,20
2021-01-29,MY,-52,-15,-54,-66,-30,23
2021-06-25,MY,-58,-13,-52,-71,-42,32
2020-10-07,PH,-49,-21,-31,-56,-40,21
2021-08-19,PH,-34,10,-14,-53,-37,24
2021-04-07,PH,-47,-10,-26,-59,-41,25
2021-02-11,MY,-39,2,-45,-58,-45,21
2020-07-30,PH,-47,-20,-27,-57,-45,23
2021-07-09,PH,-24,20,-11,-44,-24,21
2020-11-10,PH,-41,-14,-28,-51,-37,21
2020-10-12,PH,-48,-22,-29,-55,-37,22
2020-12-31,PH,-33,33,1,-49,-57,23
