date,location_key,search_trends_cough,search_trends_fever
2020-09-28,JM,,
2022-09-17,JM,,
2021-07-13,JO,,
2021-03-15,JO,,
2022-05-30,JO,,
2022-05-18,JO,,
2022-08-28,JO,,
2022-09-01,JO,,
2021-11-30,JO,,
2020-08-02,JO,,
2021-11-20,JO,,
2020-12-12,JO,,
2022-05-21,JO,,
2021-06-01,JO,,
2021-08-15,JO,,
2020-12-23,JO,,
2021-08-25,JO,,
2021-11-18,JO,,
2021-11-24,JO,,
2022-04-16,JP,,
2022-02-06,JP,,
2020-11-06,JP,,
2022-03-29,JP,,
2020-10-06,JP,,
2020-12-26,JP,,
2020-07-12,JP,,
2021-08-03,JP,,
2021-05-24,JP,,
2020-09-27,JP,,
2022-01-08,KE,,
2020-07-30,KE,,
2021-10-09,KE,,
2021-07-28,KE,,
2022-04-05,KE,,
2021-05-06,KE,,
2020-09-22,KE,,
2021-01-15,KE,,
2021-05-01,KE,,
2022-01-14,KE,,
2020-10-21,KE,,
2021-06-22,KE,,
2022-08-23,KE,,
2021-02-09,KE,,
2021-12-18,KE,,
2021-12-02,KE,,
2021-06-03,KE,,
2020-12-26,KG,,
2022-04-18,KG,,
2022-06-23,KG,,
2022-03-21,KG,,
2021-12-21,KG,,
2021-06-03,KG,,
2021-03-17,KG,,
2022-01-05,KG,,
2021-02-08,KG,,
2021-05-15,KG,,
2022-04-15,KG,,
2021-06-01,KG,,
2021-11-07,KG,,
2021-03-09,KH,,
2020-12-30,KH,,
2022-07-08,KH,,
2020-12-26,KH,,
2021-03-12,KH,,
2021-12-03,KH,,
2022-06-03,KH,,
2021-11-23,KH,,
2021-11-12,KI,,
2020-11-15,KI,,
2020-12-30,KI,,
2020-09-26,KI,,
2022-04-08,KI,,
2021-04-06,KI,,
2020-07-30,KI,,
2021-05-22,KI,,
2021-07-02,KI,,
2022-02-02,KM,,
2022-03-25,KM,,
2020-08-29,KM,,
2022-08-21,KM,,
2021-04-03,KM,,
2021-06-16,KM,,
2021-12-23,KM,,
2022-09-07,KM,,
2021-05-31,KM,,
2021-09-25,KM,,
2020-12-24,KM,,
2020-12-07,KN,,
2022-01-25,KN,,
2021-08-15,KN,,
2022-05-20,KN,,
2021-03-16,KN,,
2022-03-09,KN,,
2020-11-12,KN,,
2021-06-12,KN,,
2021-01-31,KN,,
2022-08-07,KP,,
2021-10-28,KP,,
2021-02-17,KP,,
2022-02-10,KP,,
2021-03-12,KP,,
2022-04-06,KP,,
2022-05-03,KP,,
2021-08-07,KP,,
2022-08-02,KP,,
2022-04-19,KP,,
2021-01-26,KP,,
2022-08-22,KP,,
2020-09-05,KR,,
2021-06-28,KR,,
2021-07-10,KR,,
2020-09-20,KR,,
2021-02-19,KR,,
2020-08-19,KR,,
2022-09-07,KR,,
2020-07-16,KR,,
2021-07-03,KR,,
2022-06-15,KR,,
2022-07-25,KR,,
2022-07-04,KR,,
2022-08-02,KR,,
2021-09-18,KR,,
2022-05-29,KW,,
2022-02-21,KW,,
2022-08-17,KW,,
2021-01-07,KW,,
2021-10-01,KW,,
2020-11-15,KW,,
2022-03-30,KY,,
2020-12-08,KY,,
2020-11-21,KY,,
2021-12-08,KY,,
2022-02-02,KY,,
2020-12-06,KY,,
2021-05-26,KY,,
2022-01-03,KY,,
2021-10-22,KY,,
2021-02-02,KY,,
2020-12-03,KY,,
2020-08-13,KY,,
2020-12-23,KZ,,
2022-03-29,KZ,,
2021-10-22,KZ,,
2021-02-16,KZ,,
2020-07-04,KZ,,
2021-10-10,KZ,,
2020-11-21,KZ,,
2020-11-12,KZ,,
2022-03-22,KZ,,
2021-12-26,KZ,,
2020-12-06,KZ,,
2022-09-15,LA,,
2021-11-23,LA,,
2021-09-14,LA,,
2022-07-22,LA,,
2021-04-19,LA,,
2021-11-12,LA,,
2021-06-06,LA,,
2022-02-21,LA,,
2021-06-30,LA,,
2021-09-29,LA,,
2021-07-18,LA,,
2022-08-28,LA,,
2020-11-29,LA,,
2021-08-29,LA,,
2022-07-20,LA,,
2022-02-13,LB,,
2020-10-23,LB,,
2021-10-10,LB,,
2021-03-25,LB,,
2021-08-05,LB,,
2022-04-07,LB,,
2022-02-03,LB,,
2020-07-21,LB,,
2021-12-28,LC,,
2021-12-29,LC,,
2021-04-04,LC,,
2021-02-12,LC,,
2021-01-23,LC,,
2021-03-31,LC,,
